Epoch 1, Loss: 12.501417398452759
Epoch 2, Loss: 8.562594652175903
Epoch 3, Loss: 1.4211096912622452
Epoch 4, Loss: 1.5395246744155884
Epoch 5, Loss: 2.5335758924484253
Epoch 6, Loss: 1.4297208786010742
Epoch 7, Loss: 0.5390257686376572
Epoch 8, Loss: 0.5612196326255798
Epoch 9, Loss: 0.7902616560459137
Epoch 10, Loss: 0.7631948590278625
Epoch 11, Loss: 0.5892412662506104
Epoch 12, Loss: 0.4548645317554474
Epoch 13, Loss: 0.4124133288860321
Epoch 14, Loss: 0.4158209264278412
Epoch 15, Loss: 0.4279443472623825
Epoch 16, Loss: 0.42625121772289276
Epoch 17, Loss: 0.424726203083992
Epoch 18, Loss: 0.40556205809116364
Epoch 19, Loss: 0.3762615919113159
Epoch 20, Loss: 0.3480491042137146
Epoch 21, Loss: 0.3593253940343857
Epoch 22, Loss: 0.3584546744823456
Epoch 23, Loss: 0.3502550721168518
Epoch 24, Loss: 0.34470461308956146
Epoch 25, Loss: 0.34487326443195343
Epoch 26, Loss: 0.3371783196926117
Epoch 27, Loss: 0.3366817533969879
Epoch 28, Loss: 0.336098775267601
Epoch 29, Loss: 0.33800072968006134
Epoch 30, Loss: 0.3334179222583771
Epoch 31, Loss: 0.3338048458099365
Epoch 32, Loss: 0.3341989368200302
Epoch 33, Loss: 0.33474017679691315
Epoch 34, Loss: 0.33211377263069153
Epoch 35, Loss: 0.3278568834066391
Epoch 36, Loss: 0.3336866796016693
Epoch 37, Loss: 0.3287259340286255
Epoch 38, Loss: 0.3284331113100052
Epoch 39, Loss: 0.3301308751106262
Epoch 40, Loss: 0.32018864154815674
Epoch 41, Loss: 0.32751478254795074
Epoch 42, Loss: 0.32907605171203613
Epoch 43, Loss: 0.3245495855808258
Epoch 44, Loss: 0.31933750212192535
Epoch 45, Loss: 0.3285542130470276
Epoch 46, Loss: 0.316632017493248
Epoch 47, Loss: 0.32314713299274445
Epoch 48, Loss: 0.3217626214027405
Epoch 49, Loss: 0.3223177641630173
Epoch 50, Loss: 0.31708404421806335
Epoch 51, Loss: 0.3192523717880249
Epoch 52, Loss: 0.31482216715812683
Epoch 53, Loss: 0.3185981512069702
Epoch 54, Loss: 0.3144504874944687
Epoch 55, Loss: 0.3160875588655472
Epoch 56, Loss: 0.3140333741903305
Epoch 57, Loss: 0.31874196231365204
Epoch 58, Loss: 0.3141164928674698
Epoch 59, Loss: 0.31618428230285645
Epoch 60, Loss: 0.31492967903614044
Epoch 61, Loss: 0.31297969818115234
Epoch 62, Loss: 0.31147609651088715
Epoch 63, Loss: 0.31151124835014343
Epoch 64, Loss: 0.3044392019510269
Epoch 65, Loss: 0.31106364727020264
Epoch 66, Loss: 0.3066544532775879
Epoch 67, Loss: 0.31121717393398285
Epoch 68, Loss: 0.30911584198474884
Epoch 69, Loss: 0.3086305409669876
Epoch 70, Loss: 0.3064534217119217
Epoch 71, Loss: 0.3041781932115555
Epoch 72, Loss: 0.30608780682086945
Epoch 73, Loss: 0.3039003014564514
Epoch 74, Loss: 0.3073552995920181
Epoch 75, Loss: 0.30453185737133026
Epoch 76, Loss: 0.3089646100997925
Epoch 77, Loss: 0.3052689731121063
Epoch 78, Loss: 0.29800985753536224
Epoch 79, Loss: 0.30544301867485046
Epoch 80, Loss: 0.30394047498703003
Epoch 81, Loss: 0.29637692868709564
Epoch 82, Loss: 0.30248019099235535
Epoch 83, Loss: 0.3068651556968689
Epoch 84, Loss: 0.3012140393257141
Epoch 85, Loss: 0.3016381859779358
Epoch 86, Loss: 0.2939266115427017
Epoch 87, Loss: 0.30001048743724823
Epoch 88, Loss: 0.30367496609687805
Epoch 89, Loss: 0.29432837665081024
Epoch 90, Loss: 0.2938162088394165
Epoch 91, Loss: 0.2995360791683197
Epoch 92, Loss: 0.2985243648290634
Epoch 93, Loss: 0.2974208742380142
Epoch 94, Loss: 0.3016331195831299
Epoch 95, Loss: 0.29919594526290894
Epoch 96, Loss: 0.29859647154808044
Epoch 97, Loss: 0.29550933837890625
Epoch 98, Loss: 0.2916000038385391
Epoch 99, Loss: 0.29446934163570404
Epoch 100, Loss: 0.29772908985614777
Epoch 101, Loss: 0.29859599471092224
Epoch 102, Loss: 0.29083606600761414
Epoch 103, Loss: 0.3018217384815216
Epoch 104, Loss: 0.2974499315023422
Epoch 105, Loss: 0.29227572679519653
Epoch 106, Loss: 0.2994473725557327
Epoch 107, Loss: 0.2928237318992615
Epoch 108, Loss: 0.29437756538391113
Epoch 109, Loss: 0.29084430634975433
Epoch 110, Loss: 0.29153572022914886
Epoch 111, Loss: 0.2937548905611038
Epoch 112, Loss: 0.2944057732820511
Epoch 113, Loss: 0.2919435054063797
Epoch 114, Loss: 0.2893213927745819
Epoch 115, Loss: 0.29400624334812164
Epoch 116, Loss: 0.29025278985500336
Epoch 117, Loss: 0.2875870317220688
Epoch 118, Loss: 0.29102659225463867
Epoch 119, Loss: 0.2919561564922333
Epoch 120, Loss: 0.2863149791955948
Epoch 121, Loss: 0.2931854873895645
Epoch 122, Loss: 0.2851758897304535
Epoch 123, Loss: 0.2896839827299118
Epoch 124, Loss: 0.2912261039018631
Epoch 125, Loss: 0.28131169080734253
Epoch 126, Loss: 0.28444667160511017
Epoch 127, Loss: 0.28972335159778595
Epoch 128, Loss: 0.28967754542827606
Epoch 129, Loss: 0.2856655567884445
Epoch 130, Loss: 0.27874699234962463
Epoch 131, Loss: 0.28901349008083344
Epoch 132, Loss: 0.29132799804210663
Epoch 133, Loss: 0.291732057929039
