Using Device:  cuda
Epoch 1, Loss: 0.5354216609682355
Epoch 2, Loss: 0.3782711454800197
Epoch 3, Loss: 0.3513302760464804
Epoch 4, Loss: 0.3355164038283484
Epoch 5, Loss: 0.32391148805618286
Epoch 6, Loss: 0.31627407882894787
Epoch 7, Loss: 0.30920131291661945
Epoch 8, Loss: 0.3039470102105822
Epoch 9, Loss: 0.2987655763115202
Epoch 10, Loss: 0.2956874178988593
Epoch 11, Loss: 0.2923163388456617
Epoch 12, Loss: 0.29214795785290854
Epoch 13, Loss: 0.29111883895737783
Epoch 14, Loss: 0.2873555528266089
Epoch 15, Loss: 0.28981199860572815
Epoch 16, Loss: 0.2869124433823994
Epoch 17, Loss: 0.2859838328191212
Epoch 18, Loss: 0.28658979492528097
Epoch 19, Loss: 0.2879303800208228
Epoch 20, Loss: 0.2871202528476715
Epoch 21, Loss: 0.2823299318552017
Epoch 22, Loss: 0.282348843557494
Epoch 23, Loss: 0.28211565741470884
Epoch 24, Loss: 0.2819556253296988
Epoch 25, Loss: 0.2836435777800424
Epoch 26, Loss: 0.2839243539742061
Epoch 27, Loss: 0.2819663903542927
Epoch 28, Loss: 0.28073662732328686
Epoch 29, Loss: 0.2819363347121647
Epoch 30, Loss: 0.2824215463229588
Epoch 31, Loss: 0.2812282719782421
Epoch 32, Loss: 0.28396324813365936
Epoch 33, Loss: 0.283365969147001
Epoch 34, Loss: 0.28202598435538156
Epoch 35, Loss: 0.27945541058267864
Epoch 36, Loss: 0.2788788080215454
Epoch 37, Loss: 0.27818446287087034
Epoch 38, Loss: 0.277711312685694
Epoch 39, Loss: 0.2758226479802813
Epoch 40, Loss: 0.2792147547006607
Epoch 41, Loss: 0.27658410157476154
Epoch 42, Loss: 0.277523045028959
Epoch 43, Loss: 0.27697441833359854
Epoch 44, Loss: 0.2765649620975767
Epoch 45, Loss: 0.27678161008017405
Epoch 46, Loss: 0.2771527682031904
Epoch 47, Loss: 0.28016282618045807
Epoch 48, Loss: 0.277269857270377
Epoch 49, Loss: 0.279707242335592
Epoch 50, Loss: 0.27619760377066477
Epoch 51, Loss: 0.2771348868097578
Epoch 52, Loss: 0.27798871057374136
Epoch 53, Loss: 0.274834434900965
Epoch 54, Loss: 0.2757740850959505
Epoch 55, Loss: 0.27605949129377094
Epoch 56, Loss: 0.27537364619118826
Epoch 57, Loss: 0.27533761305468424
Epoch 58, Loss: 0.2743555222238813
Epoch 59, Loss: 0.2748721476112093
Epoch 60, Loss: 0.275763207248279
Epoch 61, Loss: 0.2779642641544342
Epoch 62, Loss: 0.27580778300762177
Epoch 63, Loss: 0.2754958016531808
Epoch 64, Loss: 0.274481332727841
Epoch 65, Loss: 0.273936716573579
Epoch 66, Loss: 0.27351326814719606
Epoch 67, Loss: 0.27439392464501516
Epoch 68, Loss: 0.27553182201726095
Epoch 69, Loss: 0.27652955268110546
Epoch 70, Loss: 0.2747553267649242
Epoch 71, Loss: 0.27567949891090393
Epoch 72, Loss: 0.27241145287241253
Epoch 73, Loss: 0.27248077946049826
Epoch 74, Loss: 0.2750675060919353
Epoch 75, Loss: 0.27296310876096996
Epoch 76, Loss: 0.2700203167540686
Epoch 77, Loss: 0.2741605022123882
Epoch 78, Loss: 0.27151219121047426
Epoch 79, Loss: 0.27208040867533
Epoch 80, Loss: 0.2737801436867033
Epoch 81, Loss: 0.2735220513173512
Epoch 82, Loss: 0.2714039704629353
Epoch 83, Loss: 0.27091772641454426
Epoch 84, Loss: 0.27240303797381266
Epoch 85, Loss: 0.2731339250292097
Epoch 86, Loss: 0.2740941665002278
Epoch 87, Loss: 0.2729253683771406
Epoch 88, Loss: 0.2703945902841432
Epoch 89, Loss: 0.2702440598181316
Epoch 90, Loss: 0.27098728503499714
Epoch 91, Loss: 0.27414898787225994
Epoch 92, Loss: 0.2714731714555195
Epoch 93, Loss: 0.2709337111030306
Epoch 94, Loss: 0.2722549544913428
Epoch 95, Loss: 0.2722427781139101
Epoch 96, Loss: 0.2715875038078853
Epoch 97, Loss: 0.2704504153558186
Epoch 98, Loss: 0.2717647148030145
Epoch 99, Loss: 0.27043438383511137
Epoch 100, Loss: 0.26850338705948423
Epoch 101, Loss: 0.2709068123783384
Epoch 102, Loss: 0.27117844990321566
Epoch 103, Loss: 0.2690912187099457
Epoch 104, Loss: 0.27045221094574246
Epoch 105, Loss: 0.26995677820273806
Epoch 106, Loss: 0.2693903275898525
Epoch 107, Loss: 0.271965537752424
Epoch 108, Loss: 0.27038928866386414
Epoch 109, Loss: 0.2714689331395285
Epoch 110, Loss: 0.26859372215611593
Epoch 111, Loss: 0.26901145705154966
Epoch 112, Loss: 0.2718150338956288
Epoch 113, Loss: 0.2709404890026365
Epoch 114, Loss: 0.27260143416268484
Epoch 115, Loss: 0.2699267161743982
Epoch 116, Loss: 0.26785220205783844
Epoch 117, Loss: 0.2678630543606622
Epoch 118, Loss: 0.26860799746853964
Epoch 119, Loss: 0.2718745917081833
Epoch 120, Loss: 0.2706643406833921
Epoch 121, Loss: 0.2706425466707775
Epoch 122, Loss: 0.2677588558622769
Epoch 123, Loss: 0.2687451605285917
Epoch 124, Loss: 0.2697599210909435
Epoch 125, Loss: 0.26948911377361845
Epoch 126, Loss: 0.2689778187445232
Epoch 127, Loss: 0.26838572536196026
Epoch 128, Loss: 0.2679343500307628
Epoch 129, Loss: 0.26663283577987124
Epoch 130, Loss: 0.2671664719070707
Epoch 131, Loss: 0.2695365846157074
Epoch 132, Loss: 0.27096438088587355
Epoch 133, Loss: 0.2692020982503891
