Epoch 1, Loss: 0.3969905848304431
Epoch 2, Loss: 0.30565760533014935
Epoch 3, Loss: 0.286392609278361
Epoch 4, Loss: 0.27684405197699863
Epoch 5, Loss: 0.2718496148784955
Epoch 6, Loss: 0.2665000980099042
Epoch 7, Loss: 0.26223088304201764
Epoch 8, Loss: 0.26070307816068333
Epoch 9, Loss: 0.25815973182519275
Epoch 10, Loss: 0.2561165603498618
Epoch 11, Loss: 0.2540254866083463
Epoch 12, Loss: 0.2529461570084095
Epoch 13, Loss: 0.2526877460380395
Epoch 14, Loss: 0.25124258796374005
Epoch 15, Loss: 0.25146959349513054
Epoch 16, Loss: 0.2500658991436164
Epoch 17, Loss: 0.2486677554746469
Epoch 18, Loss: 0.249684926122427
Epoch 19, Loss: 0.24864526589711508
Epoch 20, Loss: 0.24703726544976234
Epoch 21, Loss: 0.24917377531528473
Epoch 22, Loss: 0.24725883826613426
Epoch 23, Loss: 0.24682271853089333
Epoch 24, Loss: 0.24580065036813417
Epoch 25, Loss: 0.2460393930474917
Epoch 26, Loss: 0.24719142665465674
Epoch 27, Loss: 0.24529574314753214
Epoch 28, Loss: 0.24602656563123068
Epoch 29, Loss: 0.24446559200684229
Epoch 30, Loss: 0.24509763966004053
Epoch 31, Loss: 0.24395433316628137
Epoch 32, Loss: 0.24350945527354875
Epoch 33, Loss: 0.24430013447999954
Epoch 34, Loss: 0.24322839950521788
Epoch 35, Loss: 0.2428284709652265
Epoch 36, Loss: 0.2428054412206014
Epoch 37, Loss: 0.24342142542203268
Epoch 38, Loss: 0.24195708458622298
Epoch 39, Loss: 0.2410478057960669
Epoch 40, Loss: 0.24181896075606346
Epoch 41, Loss: 0.24341036255160967
Epoch 42, Loss: 0.2426178678870201
Epoch 43, Loss: 0.24175875509778658
Epoch 44, Loss: 0.24116252611080805
Epoch 45, Loss: 0.2411517302195231
Epoch 46, Loss: 0.24055368453264236
Epoch 47, Loss: 0.23989485825101534
Epoch 48, Loss: 0.24060660849014917
Epoch 49, Loss: 0.2413149500886599
Epoch 50, Loss: 0.23969726140300432
Epoch 51, Loss: 0.2439605581263701
Epoch 52, Loss: 0.24230328450600305
Epoch 53, Loss: 0.24110916505257288
Epoch 54, Loss: 0.24330519884824753
Epoch 55, Loss: 0.23994540919860205
Epoch 56, Loss: 0.24066920081774393
Epoch 57, Loss: 0.24032136673728624
Epoch 58, Loss: 0.2389912207921346
Epoch 59, Loss: 0.23952947681148848
Epoch 60, Loss: 0.23943255841732025
Epoch 61, Loss: 0.2398520496984323
Epoch 62, Loss: 0.2384041299422582
Epoch 63, Loss: 0.2396600085000197
Epoch 64, Loss: 0.240084079404672
Epoch 65, Loss: 0.2399050109088421
Epoch 66, Loss: 0.23914480954408646
Epoch 67, Loss: 0.23762493456403413
Epoch 68, Loss: 0.23728306839863458
Epoch 69, Loss: 0.23963109031319618
Epoch 70, Loss: 0.23966392874717712
Epoch 71, Loss: 0.2381285478671392
Epoch 72, Loss: 0.24056112145384154
Epoch 73, Loss: 0.23867253214120865
Epoch 74, Loss: 0.23822559788823128
Epoch 75, Loss: 0.23756974066297212
Epoch 76, Loss: 0.23812591036160788
Epoch 77, Loss: 0.23790394514799118
Epoch 78, Loss: 0.2370515689253807
Epoch 79, Loss: 0.2370801642537117
Epoch 80, Loss: 0.23937330767512321
Epoch 81, Loss: 0.23812775438030562
Epoch 82, Loss: 0.23804260541995367
Epoch 83, Loss: 0.23615864540139833
Epoch 84, Loss: 0.23589384431640306
Epoch 85, Loss: 0.23659016316135725
Epoch 86, Loss: 0.237047099818786
Epoch 87, Loss: 0.23869646216432253
Epoch 88, Loss: 0.23731821527083716
Epoch 89, Loss: 0.2371788720289866
Epoch 90, Loss: 0.23700927197933197
Epoch 91, Loss: 0.23637241745988527
Epoch 92, Loss: 0.23765037332971892
Epoch 93, Loss: 0.23685577884316444
Epoch 94, Loss: 0.23686029389500618
Epoch 95, Loss: 0.23607816422979036
Epoch 96, Loss: 0.2369719222187996
Epoch 97, Loss: 0.23521220311522484
Epoch 98, Loss: 0.2353395695487658
Epoch 99, Loss: 0.23435711239775023
Epoch 100, Loss: 0.23609526579578718
Epoch 101, Loss: 0.2364650753637155
Epoch 102, Loss: 0.23441837231318155
Epoch 103, Loss: 0.23651274542013803
Epoch 104, Loss: 0.2360540789862474
Epoch 105, Loss: 0.2366059422492981
Epoch 106, Loss: 0.2354384201268355
Epoch 107, Loss: 0.23412435625990233
Epoch 108, Loss: 0.2346766603489717
Epoch 109, Loss: 0.23442683244744936
Epoch 110, Loss: 0.23435033857822418
Epoch 111, Loss: 0.2350037805736065
Epoch 112, Loss: 0.23549423863490423
Epoch 113, Loss: 0.2346436344087124
Epoch 114, Loss: 0.23461742823322615
Epoch 115, Loss: 0.2360072322189808
Epoch 116, Loss: 0.23486732443173727
Epoch 117, Loss: 0.23375217244029045
Epoch 118, Loss: 0.2336538347105185
Epoch 119, Loss: 0.2333602582414945
Epoch 120, Loss: 0.23355641588568687
Epoch 121, Loss: 0.2338411808013916
Epoch 122, Loss: 0.23316199580828348
Epoch 123, Loss: 0.2346267600854238
Epoch 124, Loss: 0.233463225265344
Epoch 125, Loss: 0.2347036898136139
Epoch 126, Loss: 0.23450161144137383
Epoch 127, Loss: 0.23472374553481737
Epoch 128, Loss: 0.23304719353715578
Epoch 129, Loss: 0.2336118370294571
Epoch 130, Loss: 0.23371520017584166
Epoch 131, Loss: 0.23452812929948172
Epoch 132, Loss: 0.23383585487802824
Epoch 133, Loss: 0.23346167678634325
